,ID,age,sex,hand,I,PO,C,GlobalSoA1,GSoA2,GSoA3,GSoA4,GSoA5,GSoA6,GlobalConfidence1,GC2,GC3,GC4,GC5,GC6,BlockStart0,BS1,BS2,BS3,BS4,BS5,BS6,BlockEnd0,BE1,BE2,BE3,BE4,BE5,BE6,searchTime0,ST1,ST2,ST3,ST4,ST5,ST6,waitingTime0,WT1,WT2,WT3,WT4,WT5,WT6,peakSpeed0,PS1,PS2,PS3,PS4,PS5,PS6,accelerationTime0,AT1,AT2,AT3,AT4,AT5,AT6,distance0,D1,D2,D3,D4,D5,D6,humanClickTime0,HCT1,HCT2,HCT3,HCT4,HCT5,HCT6,virtualClickTime1,VCT2,VCT3,VCT4,VCT5,VCT6,distanceToTargetWhenHumanClick0,DTTHC1,DTTHC2,DTTHC3,DTTHC4,DTTHC5,DTTHC6,distanceToTargetWhenVirtualClick1,DTTVC2,DTTVC3,DTTVC4,DTTVC5,DTTVC6,meanTime1,MT2,MT3,MT4,MT5,MT6,meanSoA1,SoA2,SoA3,SoA4,SoA5,SoA6,meanTimeH1,MTH2,MTH3,MTH4,MTH5,MTH6,meanTimeM1,MTM2,MTM3,MTM4,MTM5,MTM6,predictionError1,PE2,PE3,PE4,PE5,PE6,TotalTrials0,TT1,TT2,TT3,TT4,TT5,TT6,KeptTrials0,KT1,KT2,KT3,KT4,KT5,KT6,GoodTrials1,GT2,GT3,GT4,GT5,GT6,MH_H1,MH_H2,MH_H3,MH_H4,MH_H5,MH_H6,MH_M1,MH_M2,MH_M3,MH_M4,MH_M5,MH_M6,HM_H1,HM_H2,HM_H3,HM_H4,HM_H5,HM_H6,HM_M1,HM_M2,HM_M3,HM_M4,HM_M5,HM_M6,H__H1,H__H2,H__H3,H__H4,H__H5,H__H6,H__M1,H__M2,H__M3,H__M4,H__M5,H__M6,M__H1,M__H2,M__H3,M__H4,M__H5,M__H6,M__M1,M__M2,M__M3,M__M4,M__M5,M__H6
0,147589736_147589736,20,F,D,38,22,34,5,4,2,5,3,4,3,3,4,4,2,3,"26/7/2022, 15:12:20:274","26/7/2022, 15:21:19:370","26/7/2022, 15:30:18:350","26/7/2022, 15:38:6:505","26/7/2022, 15:44:57:236","26/7/2022, 15:51:41:66","26/7/2022, 15:58:23:153","26/7/2022, 15:19:56:399","26/7/2022, 15:29:50:341","26/7/2022, 15:37:28:103","26/7/2022, 15:44:45:781","26/7/2022, 15:51:31:600","26/7/2022, 15:58:13:503","26/7/2022, 16:4:38:809",,2539.3147058837553,2405.2082191787354,2213.0150684787804,2253.741333316167,2208.9907894636453,2336.8417721669884,,672.7294117633035,679.5739725909821,685.826027377011,738.1213333034516,694.5144736672703,692.0202531754217,,2.2761114807903926,2.5772264135279515,2.6083476371948695,2.5732094520787374,2.825821766537807,2.992168356085833,,36.74705882633434,43.12328767776489,33.942465759303474,41.38400001207987,50.25526316542374,41.0670886100093,,381.6865110242193,397.60124958273803,372.3559574545734,396.1521809091621,394.263943094049,385.4026446149432,,1046.1338235139847,1030.5712328675675,998.284931493132,1062.863999970754,1004.6302631497383,988.3898734171179,947.7294117633035,940.8849315088089,918.435616421373,987.3133333142598,925.5381578865804,903.2556961970993,,37.55728278231998,36.56159029352433,39.52054941270201,38.81275316102782,37.631378771124325,40.19220185949228,63.79742460654423,66.48641439243251,59.36650059162824,58.265395470840254,58.380773380581125,60.07799748267653,-98.47499999579261,-89.76301367968729,-79.91917807108736,-75.62,-79.15657895489743,-85.21265822422656,0.45588235294117646,0.6575342465753424,0.6575342465753424,0.72,0.6578947368421053,0.6962025316455697,-55.61612902149077,-64.00416664282481,-57.8604166607062,-56.640740747805,-63.138000016212466,-66.95090908570724,-134.38378378507252,-139.21999999046326,-122.27199997901917,-124.4238095056443,-109.96153845236852,-127.0625,-2.3515015538882467,-5.613524370251408,1.9945478353822155,-6.315997927488046,-4.852377092795671,-9.828110720756655,90,98,90,89,87,91,86,80,80,80,80,80,80,80,68,73,73,75,76,79,31,48,48,54,50,55,37,25,25,21,26,24,10,6,6,5,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,122052773_122052773,24,H,D,37,9,23,4,4,2,4,5,5,3,2,4,3,4,3,"26/7/2022, 16:14:5:560","26/7/2022, 16:23:41:677","26/7/2022, 16:34:57:118","26/7/2022, 16:40:49:297","26/7/2022, 16:46:28:859","26/7/2022, 16:53:21:688","26/7/2022, 16:58:18:887","26/7/2022, 16:21:45:666","26/7/2022, 16:30:54:620","26/7/2022, 16:40:26:592","26/7/2022, 16:46:16:719","26/7/2022, 16:52:11:405","26/7/2022, 16:58:1:924","26/7/2022, 17:3:39:930",,1073.3810810857528,990.1452054814116,904.6177411788989,940.9706666684151,929.5215189879453,865.2571428554398,,150.6337837834616,171.63972602560096,120.9782674873162,133.63066666762035,130.3898734186269,119.04857142823083,,17.028601263754926,20.70934853906058,17.32852377746293,20.35461980467109,21.919952746646633,16.805141308165414,,35.26216215942357,39.42602739677037,35.30331145973852,36.73599999904633,38.91265823041336,36.472857147455215,,355.01186278833575,371.7742202920344,345.74865312000804,375.3614717437204,363.89477800252513,364.9834465170148,,353.66351350980835,313.5589041032203,257.56184210745914,280.0319999996821,273.34177215114426,264.3614285690444,267.74189189076424,256.86027397031654,206.1828947310385,221.9146666677793,219.53797468128084,215.0299999994891,,58.59619233501137,55.93597124484761,53.51722014486822,54.66049552032035,54.661402933441046,59.94187561298023,83.91978986831724,76.95518954012381,77.12927737447122,77.8310556920142,84.6669027677273,82.4824945552851,-86.10675675401816,-56.84794519943734,-51.54078947870355,-58.24533332983653,-53.97468353977686,-49.45999999386924,0.7162162162162162,0.7808219178082192,0.75,0.76,0.7974683544303798,0.8,-70.24339622484064,-50.68421052213301,-49.968421057650914,-52.97017543671424,-52.333333328602805,-47.649999995316776,-126.14285713718051,-78.80624998733401,-56.25789474186144,-74.94999999139044,-60.43749999627471,-56.69999998807907,2.13384514960537,6.44131763368984,-5.624111913673211,-2.5887215482958723,0.3602964820063216,5.916923679245639,129,126,108,123,124,102,122,80,80,80,80,80,80,80,74,73,76,75,79,70,53,57,57,57,63,56,21,16,19,18,16,14,4,1,1,3,0,7,0,0,0,0,0,2,0,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1
2,227985121_227985121,50,F,G,40,8,4,4,4,3,2,3,4,1,3,3,2,3,4,"24/5/2022, 10:21:33:40","24/5/2022, 10:29:52:458","24/5/2022, 10:38:25:308","24/5/2022, 10:44:53:117","24/5/2022, 10:51:19:275","24/5/2022, 10:57:54:862","24/5/2022, 11:3:59:597","24/5/2022, 10:28:40:256","24/5/2022, 10:36:57:19","24/5/2022, 10:44:38:390","24/5/2022, 10:51:4:777","24/5/2022, 10:57:35:869","24/5/2022, 11:3:48:319","24/5/2022, 11:9:31:243",,1686.6295454535973,1631.6111111115843,1538.0948275846654,1600.7705882378652,1660.0288135576045,1411.5625000010643,,467.2818181833083,554.3634920635867,456.52068965445307,481.05686274579926,424.0864406758446,295.8732142863529,,3.757178485228029,2.947193438889062,3.517105828596945,2.7525974814397243,3.6533638812473157,3.3512113001573804,,47.32727273011749,41.03968253968254,41.613793105400845,33.28823529505262,43.761016951274065,36.94821428454348,,509.0274945780238,495.4751285733325,495.74765343230706,498.4802136344447,503.02529525281636,437.5202613582114,,1088.961363637312,1120.1190476185745,971.5120689668532,1039.4823529428127,935.5338983030642,794.2625000013837,940.3386363671584,996.5031746025123,849.0465517229047,923.2450980386313,823.5372881333707,677.0607142863529,,36.24924312885225,43.71832994853452,57.06751479761297,52.683706116787455,52.41159637134935,46.36307753473947,55.36841342927309,52.24536515940678,71.75908675060116,64.47849847829424,65.92519116153431,66.28614996106515,-148.71136363460258,-123.70634920776837,-122.60000000071936,-116.34313725665504,-112.12711864255242,-117.32142857462168,0.36363636363636365,0.30158730158730157,0.41379310344827586,0.5882352941176471,0.5084745762711864,0.5535714285714286,-55.243749994784594,-56.75263157957479,-53.42500000322858,-82.13333333532016,-56.55333333313465,-65.19354839094224,-202.12142857164145,-152.61818181994286,-171.42941176365403,-165.21428571570488,-169.61724137643287,-181.9600000023842,-4.908847705717978,-15.126567970033634,-28.410902462986197,-26.166404166651382,-18.232975691557,-23.21685832342811,102,98,90,94,90,88,88,80,80,80,80,80,80,80,44,63,58,51,59,56,16,19,24,30,30,31,28,44,34,21,29,25,8,4,9,13,7,6,0,0,0,0,0,0,28,12,12,14,14,17,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,69785882_69785882,37,H,G,20,18,23,4,4,3,4,4,4,4,4,3,3,3,3,"26/7/2022, 15:30:46:800","26/7/2022, 15:37:28:296","26/7/2022, 15:45:51:45","26/7/2022, 15:52:28:82","26/7/2022, 15:58:56:66","26/7/2022, 16:9:21:572","26/7/2022, 16:16:30:479","26/7/2022, 15:36:41:702","26/7/2022, 15:45:8:427","26/7/2022, 15:52:9:850","26/7/2022, 15:58:46:774","26/7/2022, 16:7:29:384","26/7/2022, 16:16:14:326","26/7/2022, 16:22:44:20",,2253.999069882164,1922.5586140418789,1543.5388555306265,1482.802423644435,1394.1527221436456,1575.0102672709618,,39.26469488030125,43.574790512817664,56.15703734880821,50.30944119205927,87.89666154517114,133.50269151338603,,14.58492221922899,14.390485366885711,15.965337286974952,15.940472372581102,15.637073889533132,14.512326568444259,,161.84155512640427,169.94432713353993,174.39568992348558,163.82213775949194,140.6836414862156,107.64276302881737,,406.1736968331336,412.5164367304763,459.5351030252317,423.32141194905665,450.22527512255743,402.21014354547236,,464.4625000022352,452.80882352415256,469.0800000039014,437.8543859699316,443.4484848470399,441.75909090764594,365.8843749985099,361.5397058813011,388.1290909138593,338.8087719386084,362.6121212171786,356.11666666738915,,46.846832815253194,47.93820132114414,55.288791625715874,53.56482906244539,50.801843347561395,54.389659450051276,68.17216648583212,65.2267353753952,67.08573773433766,69.62336226645029,61.99046320882035,66.15869922808935,-98.72031250223517,-91.4132352909621,-81.107272735509,-99.19824561319854,-80.98484848304228,-85.78181817676082,0.578125,0.5441176470588235,0.5454545454545454,0.5087719298245614,0.6212121212121212,0.6818181818181818,-66.34864864156053,-55.65675675546801,-46.80000000794728,-70.02413792445742,-59.33902437803222,-59.58666666083866,-143.081481496493,-134.09032257526152,-122.27600000858307,-129.41428571939468,-116.48400001525879,-141.91428571087974,-18.86378862860662,-20.021412200675442,-13.525178169025843,-25.55430752900657,-10.967511946358306,-15.643238263350858,90,101,91,94,95,112,101,80,80,80,80,80,80,80,64,68,55,57,66,66,37,37,30,29,41,45,27,31,25,28,25,21,9,9,20,19,7,12,0,1,1,2,1,0,7,2,3,2,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
4,199249500_199249500,24,H,D,22,4,16,4,3,4,4,3,4,2,3,3,4,3,2,"26/7/2022, 16:13:24:122","26/7/2022, 16:23:16:826","26/7/2022, 16:32:6:656","26/7/2022, 16:39:23:512","26/7/2022, 16:45:22:377","26/7/2022, 16:51:38:519","26/7/2022, 16:57:57:26","26/7/2022, 16:21:10:324","26/7/2022, 16:31:37:808","26/7/2022, 16:39:9:628","26/7/2022, 16:45:11:456","26/7/2022, 16:51:30:232","26/7/2022, 16:57:42:679","26/7/2022, 17:3:25:447",,1372.916129023798,1634.7459459401466,1313.5783969987065,1265.0675244600598,1249.129742394543,1214.3499999971896,,311.4096774170476,318.6945945894396,254.22678410394056,324.112979012739,240.40640907948836,249.4205882387948,,7.053347986326938,8.113700763015313,6.95039616523224,7.364242981701074,6.948411460102464,5.67884588425795,,69.93225806374704,70.26216216989465,49.9893449375466,55.82641493387972,60.55025758876776,83.4147058886695,,277.14295684810384,295.10890038108585,280.26203510992707,309.6213135249519,306.7759516765148,282.2601125471073,,784.712903230421,767.6270270283158,693.2387096843412,769.6151515245438,725.616666662693,702.6882352969226,664.477419357146,656.0,605.4193548464006,676.8272727294402,616.1866666754087,585.9676470651347,,30.584524241685205,31.01883731654256,28.46988532199144,27.337368688026118,35.00492619262081,31.455447872957652,51.382313726882586,51.04622377311245,38.810380947090486,34.58315498245626,50.51830797224455,47.453250859575654,-120.64516129416805,-111.956756765778,-88.038709682803,-93.1606060627735,-109.74333331187566,-116.94117647409439,0.5161290322580645,0.4864864864864865,0.6774193548387096,0.6060606060606061,0.6,0.5882352941176471,-51.73124998807907,-64.90555557277467,-64.31904762131828,-56.81000000834465,-76.27222220765219,-89.38000000119209,-194.1533333539963,-156.53157894862326,-137.85000001192094,-149.08461537727942,-159.94999996821085,-156.31428572109766,-23.87404868117754,-31.83557094672711,-14.313650262796786,-23.77035485033972,-40.17399110388281,-31.11334662667933,93,89,90,93,94,94,91,80,80,80,80,80,80,80,31,37,31,33,30,34,16,18,21,20,18,20,15,19,10,13,12,14,13,6,10,9,16,10,0,0,0,0,0,0,35,37,39,38,34,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,66022916_66022916,53,F,D,13,33,31,5,3,5,3,3,2,4,3,4,3,2,2,"27/5/2022, 15:21:58:456","27/5/2022, 15:30:0:917","27/5/2022, 15:38:0:412","27/5/2022, 15:45:9:38","27/5/2022, 15:51:11:380","27/5/2022, 15:57:58:35","27/5/2022, 16:3:38:446","27/5/2022, 15:29:8:837","27/5/2022, 15:37:43:373","27/5/2022, 15:44:51:782","27/5/2022, 15:50:58:496","27/5/2022, 15:57:41:610","27/5/2022, 16:3:25:821","27/5/2022, 16:9:31:137",,1208.425226742686,1174.2142954255821,1259.8067252998198,1365.3349206315147,1220.0693548379406,1207.7409090932572,,283.38552085875517,261.92286685534555,324.5858297763643,420.81111111338174,302.3419354836787,267.8590909107165,,6.161033156591116,6.779476334207788,6.330224519798295,5.869491516626227,7.203469322064473,6.742527658216966,,59.99536149032921,59.859990293642376,55.248498584157716,51.96507937094522,41.79838709869692,48.846969696608454,,401.955059745988,394.1367427977138,384.47767723204004,404.93991305531915,366.0718206913888,368.5981065130533,,726.4926470535643,643.4657142894608,707.9328358182266,820.4984127008726,650.0241935503099,613.5060606056994,612.5764705810477,571.4600000023842,626.2522388073935,749.1698412743825,577.8661290311044,528.3212121192253,,42.92631235063328,45.65816416705405,43.610199393559604,40.56531931597709,42.341507468651756,43.24642952538253,59.72225606438347,55.85199983920545,59.434029358941046,51.358373662323196,59.05439325623609,62.575978295640724,-113.99999999474076,-72.10857142295156,-81.79552238378952,-71.4285714238409,-72.274193545503,-85.2666666688341,0.8529411764705882,0.7571428571428571,0.6716417910447762,0.7936507936507936,0.7580645161290323,0.7272727272727273,-103.09999999609487,-65.62452829783817,-75.4444444378217,-62.14999999523163,-57.90851063677605,-65.07083333159487,-177.219999986887,-92.32352940124623,-94.78636363690549,-107.11538461079964,-117.28666665951411,-139.12222223480543,-16.101499145397767,2.044880817643619,-12.935075466989566,-6.983105025025144,-8.766712054045607,-15.256129742516753,96,106,94,88,91,86,96,80,80,80,80,80,80,80,68,70,67,63,62,66,58,53,45,50,47,48,10,17,22,13,15,18,2,7,3,9,17,8,0,0,0,0,0,0,10,3,8,8,1,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,31394413_31394413,28,F,G,24,14,11,5,5,5,4,4,3,2,3,2,3,3,3,"24/5/2022, 11:16:55:287","24/5/2022, 11:22:8:485","24/5/2022, 11:28:28:687","24/5/2022, 11:33:51:502","24/5/2022, 11:38:41:720","24/5/2022, 11:44:26:229","24/5/2022, 11:50:6:772","24/5/2022, 11:20:47:164","24/5/2022, 11:28:8:796","24/5/2022, 11:33:41:460","24/5/2022, 11:38:32:917","24/5/2022, 11:44:8:949","24/5/2022, 11:49:51:461","24/5/2022, 11:56:55:45",,973.13130420659,1012.3358688754838,840.4555345102821,835.6501333365237,933.3817677737528,888.176027240282,,118.30498841735167,119.75034255930223,96.16186362369682,97.46280939321846,108.91553400763516,97.68278399713941,,9.491988512677075,9.404241836191542,9.993255929270468,10.103904789444158,10.221931319587675,9.06623508097525,,42.92132737186713,38.54176270389488,37.04826295878915,37.93859905748575,41.37667378418559,39.51586465154951,,495.0517084069926,471.3801721778108,461.3699324909334,453.880456654093,458.9240457037419,453.3018228610334,,393.73289473668524,363.2842105266295,282.911392404969,282.47042253540013,277.935064935452,256.20135135163326,296.7447368422229,280.384210526257,204.99240506298935,218.00281690145042,214.6948051945149,194.39729729717646,,55.6433078820937,60.595391625629084,55.03695569833272,60.92055349447709,64.05431575179166,52.409268231488326,64.66228170317821,72.8831190924626,67.3758592396155,68.21891466340226,72.27760263616811,65.44269697112216,-97.07499999954905,-82.9828947373715,-77.9759493672961,-64.53098591543,-63.29870129947538,-61.85945945968096,0.7368421052631579,0.7236842105263158,0.810126582278481,0.7746478873239436,0.7922077922077922,0.8108108108108109,-80.77678571375353,-64.37454545511441,-67.71875000011642,-51.07090909074653,-55.54754098480353,-49.701666666815676,-142.70999999977647,-131.71904761947337,-121.74000000059604,-110.8000000002794,-92.84999999916181,-113.9642857148179,-8.17447263601215,-2.603995183669386,-8.661972721515506,1.1588341592964797,3.6950629945836417,-3.6958110399149957,89,104,95,98,112,119,106,80,80,80,80,80,80,80,76,76,79,71,77,74,56,55,64,55,61,60,20,21,15,16,16,14,2,2,1,8,3,5,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,171525381_171525381,25,H,D,40,8,11,4,4,3,3,4,2,4,3,2,4,3,3,"26/7/2022, 16:20:30:532","26/7/2022, 16:27:43:145","26/7/2022, 16:32:45:574","26/7/2022, 16:37:47:551","26/7/2022, 16:42:29:866","26/7/2022, 16:47:10:878","26/7/2022, 16:52:19:203","26/7/2022, 16:26:17:761","26/7/2022, 16:32:13:832","26/7/2022, 16:37:24:444","26/7/2022, 16:42:19:792","26/7/2022, 16:46:41:510","26/7/2022, 16:51:52:214","26/7/2022, 16:56:43:648",,795.2997886413585,834.0016906368737,838.083237952655,957.481523855819,884.2466926485977,894.5045521528591,,33.08867751965105,43.8689037414657,51.14838943818485,99.0773571805427,55.73573374187523,48.04830215956463,,8.328806466577388,8.591371070341975,11.091757036773723,11.178136002450817,11.234100520366399,10.864666904832191,,79.5154891370815,66.55568642012362,69.28191357188872,50.7059761408697,67.09303339774249,75.13138533671008,,339.54851069830215,310.69836726536244,350.0595907729843,315.8854261280476,307.84535285816855,343.9473423086455,,216.85833333267107,203.87049179780678,210.95757574023622,242.70555555820465,205.88767123875553,197.52187502384186,154.37222223480543,149.71475408898024,161.20303029725045,191.38611111044884,162.14246576452908,162.47187500819564,,32.00736710726652,29.792294920375074,31.70081310607787,30.37278670852518,29.79842509516287,31.466590975895127,95.09360713665026,108.7355796390574,95.05540644229403,93.31029929658752,90.28380363510229,75.92124420302133,-62.681944443119896,-54.29016392739093,-49.91363635930148,-51.42638889286253,-43.868493138927306,-35.16718750819564,0.7361111111111112,0.7704918032786885,0.8333333333333334,0.75,0.8356164383561644,0.765625,-53.51509434322141,-49.953191483274416,-44.90909090042114,-39.76666667284789,-39.04098360264888,-31.51020409622971,-88.25263156388935,-68.84999998978206,-74.93636365370317,-86.40555555290646,-68.40833328167598,-47.11333332061768,5.743683348006497,-2.0033878480336496,-4.992161251808831,-1.7285174121766373,-2.2484725386031204,4.860476973286495,102,103,110,108,95,103,106,80,80,80,80,80,80,80,72,61,66,72,73,64,53,47,55,54,61,49,19,14,11,18,12,15,2,0,2,3,1,3,0,1,0,0,0,0,6,16,11,5,6,11,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,138057247_138057247,18,F,D,21,17,21,3,2,2,5,5,4,3,4,4,4,4,4,"8/7/2022, 15:24:10:123","8/7/2022, 15:38:45:319","8/7/2022, 15:52:55:157","8/7/2022, 16:15:7:213","8/7/2022, 16:30:36:537","8/7/2022, 16:48:11:269","8/7/2022, 16:58:25:685","8/7/2022, 15:36:16:584","8/7/2022, 15:51:57:204","8/7/2022, 16:7:38:115","8/7/2022, 16:30:14:242","8/7/2022, 16:47:36:241","8/7/2022, 16:58:8:342","8/7/2022, 17:5:36:396",,3510.3039999999105,3546.4919664220747,3216.750746284375,3278.2168321882414,1563.7647970999521,1147.7517526806973,,214.6200000000745,162.1837697009953,165.94029852305886,176.5791510289292,128.12776006294277,92.27589061196315,,5.8898412120825085,7.071062130796865,7.790240424102705,6.817956393087795,5.641640582848483,7.686113705992948,,77.85399999968708,80.83098439727986,87.42238804400523,75.75997940604778,104.14816586309354,112.32410938824238,,324.41302225655414,299.0497355642605,308.38611813261105,300.83995690986274,314.79899680617916,342.748631074406,,720.9960000000895,548.6311475408004,564.868656716518,563.1202898551372,553.1092592593697,470.5431034482759,595.7880000003428,422.53934426220957,453.72089552223235,469.9594202901142,436.5444444445548,361.6000000000771,,34.89657957278246,42.72101137904504,39.96412016585888,38.40673477041153,37.10226603588863,35.22985245641215,52.20685607738103,66.60850021746963,62.43571106005248,54.65507451207656,59.239431912544795,67.75818343690888,-125.33600000008941,-126.24262295077082,-111.32686567178635,-93.33478260855527,-116.73148148134351,-109.12068965485126,0.66,0.6229508196721312,0.7014925373134329,0.8695652173913043,0.8148148148148148,0.8448275862068966,-91.27575757580273,-74.6684210526904,-73.62978723415353,-74.97833333319674,-97.48181818154725,-84.88775510173672,-191.4529411766459,-211.45217391281673,-199.91500000022353,-215.71111111094555,-201.43000000044702,-241.05555555514164,5.489077313272917,-26.33153148449365,-32.429817807171034,-17.646282823559414,-44.0710144469114,-24.33829135781066,106,115,133,156,123,134,134,80,80,80,80,80,80,80,50,61,67,69,54,58,33,38,47,60,44,49,17,23,20,9,10,9,18,10,11,9,22,14,0,1,0,0,0,1,12,8,2,1,3,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
9,20496846_20496846,21,H,D,34,20,20,2,2,3,4,4,3,4,4,4,4,4,4,"26/7/2022, 9:18:43:282","26/7/2022, 9:27:30:813","26/7/2022, 9:34:23:722","26/7/2022, 9:39:43:372","26/7/2022, 9:44:3:201","26/7/2022, 9:48:26:873","26/7/2022, 9:52:32:743","26/7/2022, 9:22:55:725","26/7/2022, 9:33:56:428","26/7/2022, 9:39:23:500","26/7/2022, 9:43:51:156","26/7/2022, 9:48:19:683","26/7/2022, 9:52:25:803","26/7/2022, 9:56:51:914",,1097.921055927594,983.2486953685325,996.2807692307501,911.4707448393425,873.2781356896311,958.2640000004569,,146.70921382260522,157.83619536828417,141.53589743519058,166.76285010224552,175.01234621629976,150.97866666684547,,5.45133608802567,5.112155682124945,6.6669034618902625,5.489482959540119,7.809695819030045,8.079114908101715,,53.53815459821214,65.02630463121912,56.87051282097132,56.94899200274315,56.471864309878775,47.911999999185404,,477.4231907786072,498.17088780958005,510.46632557387943,493.8199433228918,472.660110516061,466.90778443923665,,450.35263157910424,459.5791666658802,417.29230769169635,423.3302631578163,362.31842105227867,324.0373333327969,330.27894736846025,379.7138888884543,326.7999999995988,355.24868421001656,289.1592105263354,252.70266666660706,,58.148105942768815,56.289265916245284,56.23884792911405,53.081680822356596,52.912945291627054,58.703930873396565,99.48465670407504,78.12368759625873,80.18423642317018,71.54295062253719,84.55908603841995,85.10327883917022,-120.13157894736842,-79.93472222218082,-90.55897435880242,-68.14736842109184,-73.19868421054592,-71.37599999934434,0.42105263157894735,0.6111111111111112,0.5256410256410257,0.6710526315789473,0.75,0.7333333333333333,-71.50625000032596,-50.6363636367023,-63.04146341434339,-47.64117647050058,-58.012280701545244,-54.783636362850665,-155.49545454521748,-125.97499999936137,-121.05135135131108,-109.98000000029802,-118.75789473754794,-117.00499999970198,-21.307122693614353,1.9627106511577945,-8.685359834610146,6.6889148160315814,-11.837146550654152,-7.3130978014561245,86,95,95,85,89,91,95,80,80,80,80,80,80,80,76,72,78,76,76,75,32,44,41,51,57,55,44,28,37,25,19,20,4,5,1,4,4,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
