,ID,postTraining,postExp1,postExp2
0,147589736_147589736,i dind't have the click on the target,no,no
1,122052773_122052773,"I didn't need to click on the odd shape, I just needed to point to it the it automatically selected itself.","No, not at all.",It was a bit tricky pressing through the space bar and clicking on the mouse but I got a hang of it while playing. Very nice game.
2,227985121_227985121,Les commandes ne répondent plus et beaucoup de bons coups se trouvent arrêtés alors que le mouvement était 'fluide'. ,"Non, mais je m'y suis adaptée. Au fur et à mesure du jeu j'ai compris que la moindre modification dans mes mouvements avec la main droite (souris) pouvaient engendrer une correction de la part de l'ordinateur. Aussi j'ai modifié ma stratégie de jeu. Etant gauchère, appuyer sur le clavier ne m'a pas posé de problème mais la coordination antre main gauche et droite était trop rapide après le début de l'appui sur la barre du clavier ce qui a engendré beaucoup de corrections de la part du programme. Donc un peu de frustration de mon côté. IL a fallu que je m'adapte à ces corrections et que je ralentisse mes mouvements afin de retomber dans le cercle vertueux des récompenses. Ensuite les temps s'améliorent...","Etonnante prise de conscience de l'amélioration des mouvements,  des temps de réponse et des stratégies en fonction des scores. ON a l'impression de ""voir"" ce qui se passe dans notre cerveau adaptatif !"
3,69785882_69785882,the selection was being made before i clicked,be faster,no
4,199249500_199249500,"After I pressed space, the click on the object happened before I clicked on it. ",no,no
5,66022916_66022916,"il ne fallait plus cliquer mais juste passer la souris sur l intrus
",oui en placant systematiquement ma souris au milieu de l ecran pour aller plus vite sur l intru et eviter les detours....,"je pense que c est plus sur la frustration et la patience cette etude..... Car au bout de l essai 60, pour chaque serie j en avais marre donc, baisse de l attention donc, plus de betises et envie d en finir pour voir l autre niveau et donc a nouveau des erreurs...."
6,31394413_31394413,"Lors du dernier bloc, ce n'est pas moi qui guidait le mouvement vers la bonne réponse",J'ai accéléré mes mouvements,Difficile d'aller plus vite tout en restant précis sur le mouvement. 
7,171525381_171525381,"The game ""clicked"" the odd one out for me before I could do it myself",No.,I feel like I could've performed better but since the reminder messages popped up so frequently I got tilted.
8,138057247_138057247,"Les intrus étaient sélectionnés légèrement avant que je clique dessus, peut de temps après avoir déverrouiller l'écran.","Avec le niveau 6 j'ai compris que l'intru avait, en plus d'une forme légèrement différente, une couleur différente. Cela m'a permis d'aller plus vite dans le recherche de ce dernier en me basant uniquement sur les couleur et plus les formes.",Le jeu est un peu lent au bout d'un moment mais très ludique. Il nous permet également de voir notre progression.
9,20496846_20496846,when I moved the mouse I instantly won,No,no comments
10,65435647_65435647,"I didn't need to click on the odd object, as soon as I clicked on the space bar and moved the mouse just a little bit in it's direction, it selected the right object",no,no
11,245112698_245112698,There was no need to click the odd one out. swiping the mouse above it was all it took,No,"It was very stressful, because of the warnings. Sometimes i was simply a little slower to click the one-one-out, but i got a warning. Other times i didn't even understand how my movement wasn't smooth; it seemed way too sensitive. But perhaps the study required this precision. Otherwise, very fun concept!"
12,25509906_25509906,During the last trial it seemed as if the shapes were clicking itself when you get closer to them.,"yes I did, I tried to improve myself when it comes to speeding faster than the computer.",It was really tricky.
13,248339442_248339442,I didn't need to click,No,It was difficult to do it in the right way because it was very sensitive with the mouse movements 
