block;trialInBlock;trial;startTime;endTime;popupType;nearTargetLobesCount;searchTime;timeMovedDuringLockedScreen;features_waitingTime;features_peakSpeed;features_accelerationTime;features_distance;humanClickTime;virtualClickTime;distanceToTargetWhenHumanClick;distanceToTargetWhenVirtualClick;firstClickType;secondClickType;timeBetweenClicks;perceivedFirstClickType;prediction_error;prediction_errorMean;prediction_errorStdev;prediction_computationTime;prediction_availableDelay;prediction_isOutlier;uncaughtPureVirtualClicksCounter
0;0;-1;"26/7/2022, 9:7:34:950";"26/7/2022, 9:7:50:954";"Are you still here?";0;"";0.0024;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:8:35:319";"26/7/2022, 9:8:36:714";"Please do not get close to the target while the grid is locked";0;"";0.1989546148;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:8:41:772";"26/7/2022, 9:8:43:957";"Please do not press the spacebar while your mouse is outside of the grid";0;2183.0999999940395;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:8:47:7";"26/7/2022, 9:8:51:752";"Please move your mouse towards the target in a single smooth motion";0;3876.199999988079;0.3810850777999997;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:8:57:819";"26/7/2022, 9:9:2:395";"";2;2847.699999988079;0;288.19999998807907;1.938507802408853;33.69999998807907;335.1051772730367;1258.2999999821186;"";22.910490660824582;"";1;"";"";"";"";"";"";"";"";"";""
0;2;1;"26/7/2022, 9:9:2:772";"26/7/2022, 9:9:6:8";"";2;1801.9000000059605;0;194.09999999403954;7.721696140653064;31.69999998807907;516.953743299877;873.1999999880791;"";27.32223507296137;"";1;"";"";"";"";"";"";"";"";"";""
0;3;2;"26/7/2022, 9:9:6:380";"26/7/2022, 9:9:9:677";"Please click on the target once the grid is unlocked";0;2049.199999988079;0;257.19999998807907;197.7054410132663;1119.699999988079;306.3541883726791;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:9:13:829";"26/7/2022, 9:9:15:531";"Please move your mouse towards the target in a single smooth motion";0;1566.5;0.07660951740000001;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:9:17:179";"26/7/2022, 9:9:19:169";"Please move your mouse towards the target in a single smooth motion";0;1672.4000000059605;0.0011535480000000001;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
0;1;0;"26/7/2022, 9:9:23:265";"26/7/2022, 9:9:24:990";"Please move your mouse towards the target in a single smooth motion";0;1445.5;0;210.5;5.445360268827052;47;551.861773043362;"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
